profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	7_U	Cv1	75						lU - lehmiger Schluff					mittel humos (2-4%)		80.0	sehr hoch (40 bis <80%)		dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		3.0	80.0	Ld4	1.8	90.0	18.0	2.7	9.0	19.0	13.0	22.0	21.0	300.0	20.0			
361	7_U	Ahb2	10						sU - sandiger Schluff					sehr stark humos (8-15%)		0.0	kein (0%)		locker		kalkfrei bis kalkarm (<0.5%)		Krümel	70																		12.5	0.0	Ld2	1.3	65.0	5.0	8.1	15.0	25.0	7.0	22.0	24.0	300.0	33.0			
361	7_U	BvCv1	40						sL - sandiger Lehm					mittel humos (2-4%)		50.0	sehr hoch (40 bis <80%)		dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		3.0	50.0	Ld4	1.8	135.0	27.0	4.1	12.0	26.0	5.0	17.0	31.0	8.0	19.0			
361	7_U	BvCv2	50						sL - sandiger Lehm					mittel humos (2-4%)		60.0	sehr hoch (40 bis <80%)		dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		3.0	60.0	Ld4	1.8	72.0	14.0	2.2	6.0	14.0	3.0	9.0	16.0	300.0	19.0			
361	7_U	Ahb1	5						sU - sandiger Schluff					sehr stark humos (8-15%)		2.0	gering (0 bis <10%)		locker		kalkfrei bis kalkarm (<0.5%)		Krümel	80																		12.5	2.0	Ld2	1.3	64.0	5.0	8.0	15.0	24.0	7.0	22.0	23.0	300.0	33.0			
361	7_U	AhBv	25						sU - sandiger Schluff					stark humos (4-8%)		40.0	hoch (20 bis <40%)		mittel		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	70																		6.0	40.0	Ld3	1.55	140.0	11.0	8.4	24.0	37.0	7.0	31.0	45.0	11.0	20.0			
