profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
13	8_U	Ahb1	2						sU - sandiger Schluff					sehr stark humos (8-15%)		0.0	kein (0%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		12.5	0.0	Ld2	1.3	26.0	2.0	3.3	6.0	10.0	3.0	6.0	10.0	32.0	33.0			
13	8_U	Ahb2	10						sU - sandiger Schluff					mittel humos (2-4%)		20.0	mäßig (10 bis <20%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		3.0	20.0	Ld3	1.55	99.0	7.0	3.0	16.0	24.0	4.0	16.0	28.0	11.0	14.0			
13	8_U	IIBvCv1	40						lS - lehmiger Sand					mittel humos (2-4%)		60.0	sehr hoch (40 bis <80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	70																		3.0	60.0	Ld3	1.55	186.0	19.0	5.6	26.0	41.0	10.0	26.0	51.0	300.0	13.0			
13	8_U	IIBvCv2	70						lS - lehmiger Sand					schwach humos (1-2%)		90.0	vorwiegend (über 80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	80																		1.5	90.0	Ld3	1.55	47.0	5.0	0.7	6.0	10.0	8.0	6.0	12.0	300.0	10.0			
13	8_U	IIBvCv3	90						lS - lehmiger Sand					schwach humos (1-2%)		90.0	vorwiegend (über 80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		1.5	90.0	Ld3	1.55	31.0	3.0	0.5	4.0	6.0	5.0	4.0	8.0	300.0	10.0			
13	8_U	IIIC	110						lS - lehmiger Sand					humusfrei (0%)		90.0	vorwiegend (über 80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		0.0	90.0	Ld3	1.55	31.0	3.0	0.0	4.0	6.0	5.0	4.0	8.0	300.0	7.0			
14	9_U	Ahb	10					6.4	sU - sandiger Schluff					sehr stark humos (8-15%)		40.0	hoch (20 bis <40%)		locker		schwach kalkhaltig (0.5 bis <1.5%)		Einzelkorn	80																		12.5	40.0	Ld2	1.3	78.0	6.0	9.8	18.0	29.0	8.0	18.0	29.0	32.0	33.0	30.0	80.0	
14	9_U	IIAhbCv	30					5.8	sU - sandiger Schluff					stark humos (4-8%)		70.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		6.0	70.0	Ld2	1.3	78.0	6.0	4.7	18.0	28.0	15.0	18.0	35.0	300.0	20.0	14.0	70.0	
14	9_U	IICv1	55					5.6	sU - sandiger Schluff					humusfrei (0%)		90.0	vorwiegend (über 80%)		locker		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	60																		0.0	90.0	Ld2	1.3	33.0	2.0	0.0	7.0	10.0	6.0	7.0	12.0	300.0	8.0	6.0	70.0	
14	9_U	IIICv2	75					5.2	sL - sandiger Lehm					humusfrei (0%)		90.0	vorwiegend (über 80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	90																		0.0	90.0	Ld2	1.3	26.0	5.0	0.0	4.0	8.0	5.0	4.0	10.0	300.0	13.0	9.0	60.0	
